title,isbn,price_eur,shop_link,google_search_link,shop,date_scraped
Как папа был маленьким,9785389116733,12.11,https://notrelocus.com/products/как-папа-был-маленьким,https://www.google.com/search?q=9785389116733,notre_locus,2026-03-29
Стихи и сказки,9785389220782,16.13,https://notrelocus.com/products/стихи-и-сказки,https://www.google.com/search?q=9785389220782,notre_locus,2026-03-29
Приключения жёлтого чемоданчика,9785389171442,12.1,https://notrelocus.com/products/приключения-жёлтого-чемоданчика,https://www.google.com/search?q=9785389171442,notre_locus,2026-03-29
Поллианна,9785389137363,12.1,https://notrelocus.com/products/поллианна,https://www.google.com/search?q=9785389137363,notre_locus,2026-03-29
Кот-ворюга,9785389168961,12.1,https://notrelocus.com/products/кот-ворюга,https://www.google.com/search?q=9785389168961,notre_locus,2026-03-29
Мишкина каша,9785389113930,12.1,https://notrelocus.com/products/мишкина-каша,https://www.google.com/search?q=9785389113930,notre_locus,2026-03-29
Дневник Коли Синицына,9785389177666,12.11,https://notrelocus.com/products/дневник-коли-синицына-1,https://www.google.com/search?q=9785389177666,notre_locus,2026-03-29
"Баранкин, будь человеком!",9785389200968,12.1,https://notrelocus.com/products/баранкин-будь-человеком,https://www.google.com/search?q=9785389200968,notre_locus,2026-03-29
Дневник Пети Васина и Васи Петина,9785389171565,12.11,https://notrelocus.com/products/дневник-пети-васина-и-васи-петина,https://www.google.com/search?q=9785389171565,notre_locus,2026-03-29
Старик Хоттабыч,9785389204782,12.1,https://notrelocus.com/products/старик-хоттабыч,https://www.google.com/search?q=9785389204782,notre_locus,2026-03-29
Басни,9785389106925,12.11,https://notrelocus.com/products/басни,https://www.google.com/search?q=9785389106925,notre_locus,2026-03-29
Приключения Васи Куролесова,9785389161054,12.1,https://notrelocus.com/products/приключения-васи-куролесова,https://www.google.com/search?q=9785389161054,notre_locus,2026-03-29
Эмиль и сыщики,9785389161047,12.1,https://notrelocus.com/products/эмиль-и-сыщики,https://www.google.com/search?q=9785389161047,notre_locus,2026-03-29
Рассказы для детей,9785389105409,12.1,https://notrelocus.com/products/рассказы-для-детей,https://www.google.com/search?q=9785389105409,notre_locus,2026-03-29
