Book Name;ISBN;Price (EUR);Original Price;Original Currency;Available
Стоптанные. Обувь, эмоциональная привязанность и аффекты ношения;N/A;37,16;135,00;ILS;Yes
Хрущевка. Советское и несоветское в пространстве повседневности;N/A;35,78;130,00;ILS;Yes
Кривое горе. Память о непогребенных;N/A;26,15;95,00;ILS;No
В поисках Зефиреи. Заметки о каббале и «тайных науках» в русской культуре первой трети XX века;N/A;35,78;130,00;ILS;Yes
Роза;N/A;23,40;85,00;ILS;No
Новое недовольство мемориальной культурой;N/A;26,15;95,00;ILS;No
Страсти революции. Эмоциональная стихия 1917 года;N/A;28,90;105,00;ILS;No
Лагерь и литература. Свидетельства о ГУЛАГе;N/A;38,54;140,00;ILS;No
«Человек, первым открывший Бродского Западу». Беседы с Джорджем Клайном;N/A;28,90;105,00;ILS;No
Криминальный гардероб. Особенности девиантного костюма;N/A;31,66;115,00;ILS;No
«Доктор Живаго» как исторический роман;N/A;31,66;115,00;ILS;No
Забвение истории — одержимость историей;N/A;30,28;110,00;ILS;No
Появление героя. Из истории русской эмоциональной культуры конца XVIII – начала XIX века;N/A;35,78;130,00;ILS;No
Познавая боль. История ощущений, эмоций и опыта;N/A;34,41;125,00;ILS;No
История зеркала;N/A;28,90;105,00;ILS;No
О чем я думаю;N/A;23,40;85,00;ILS;Yes
Магазины «Березка». Парадоксы потребления в позднем СССР;N/A;26,15;95,00;ILS;No
Едва слышный гул. Введение в философию звука;N/A;26,15;95,00;ILS;No
Песня о братьях;N/A;24,77;90,00;ILS;Yes
Все, чего я не сказала;N/A;26,15;95,00;ILS;Yes
Белая хризантема;N/A;26,15;95,00;ILS;Yes
И до, и после полуночи. Похождения несостоявшегося повесы;N/A;45,42;165,00;ILS;No
Тора. Пятикнижие и гафтарот;N/A;99,09;360,00;ILS;Yes
Тайны еврейских праздников;N/A;20,64;75,00;ILS;Yes
Медицина и каббала. Тора, свет, исцеление;N/A;20,64;75,00;ILS;Yes
Нумерология. Огненные буквы;N/A;24,77;90,00;ILS;Yes
Каббала: новые перспективы;N/A;37,16;135,00;ILS;Yes
Азбука. Для больших фантазеров (картонная книга с клапанами);N/A;68,82;250,00;ILS;No
Немецкий дух в опасности;N/A;31,66;115,00;ILS;No
Зеленые тетради. Записные книжки 1950–1990-х;N/A;35,78;130,00;ILS;Yes
Правые и левые. История и судьба;N/A;30,28;110,00;ILS;No
Умо-зрение. Устройство и социальная жизнь городов;N/A;31,66;115,00;ILS;No
Рассеяние;N/A;26,15;95,00;ILS;No
Любовная лирика Мандельштама. Единство, эволюция, адресаты;N/A;26,15;95,00;ILS;No
«…Ради речи родной, словесности…». О поэтике Иосифа Бродского;N/A;35,78;130,00;ILS;No
Время других. Книга про поэтов;N/A;30,28;110,00;ILS;Yes
Метаморфозы жира. История ожирения от Средневековья до XX века;N/A;31,66;115,00;ILS;No
Триалоги. Импровизации на свободные темы;N/A;23,40;85,00;ILS;No
