title,vendor,isbn,price_eur,link,shop,updated_at
"Даша Димитрова. Морж как морж, ничего особенного",Самокат,9785001672081,12.63,https://nmbooks.shop/products/10522,nm_books,2026-03-29
"Иоганн-Амвросий Розенштраух ""Исторические происшествия в Москве 1812 года во время присутствия в сем городе неприятеля""",Новое литературное обозрение (НЛО),9785444802700,16.3,https://nmbooks.shop/products/d10048,nm_books,2026-03-29
Георгий Касьянов: Украина и соседи: историческая политика. 1987-2018,Новое литературное обозрение (НЛО),N/A,30.97,https://nmbooks.shop/products/10012,nm_books,2026-03-29
Вадик Королев. Снеговик,Бабель,N/A,17.11,https://nmbooks.shop/products/10498,nm_books,2026-03-29
Руту Модан. Имущество,Бумкнига,9785907305175,11.41,https://nmbooks.shop/products/d10549,nm_books,2026-03-29
Люк Перино. Нулевой пациент,Бомбора,9785041205515,0.0,https://nmbooks.shop/products/10502,nm_books,2026-03-29
Ксения Кириллова. Ошибка Эфрона,FRESH Verlag,9783000730061,10.8,https://nmbooks.shop/products/10462,nm_books,2026-03-29
Виктор Вахштайн. Техника,Европейский университет в С.-Петербурге#,9785943803369,8.96,https://nmbooks.shop/products/10540,nm_books,2026-03-29
Кобо Абэ. Женщина в песках. Чужое лицо,Амфора,9785367003116,8.15,https://nmbooks.shop/products/d10550,nm_books,2026-03-29
"Брэдли Хоуп, Джастин Шек. Нефть и Кровь",Альпина Паблишер,9785961491821,14.67,https://nmbooks.shop/products/10532,nm_books,2026-03-29
Стюарт Ричи. Наукообразная чушь,Corpus,9785171361044,19.56,https://nmbooks.shop/products/10506,nm_books,2026-03-29
Алексей Зайцев. Физика Тузика,Самокат,9785917598079,12.22,https://nmbooks.shop/products/10542,nm_books,2026-03-29
Федор Сваровский. Беспорядок в саванне,Бабель,9789659292929,12.22,https://nmbooks.shop/products/10490,nm_books,2026-03-29
Герман Лукомников. Стихи из России (2022-2023),drukarevich,9789659308385,11.41,https://nmbooks.shop/products/10432,nm_books,2026-03-29
"Пряник с трещинкой. The Cracked Gingerbread, И.Асеева (рус., англ.)",Sandermoen,9783039740185,18.34,https://nmbooks.shop/products/10453,nm_books,2026-03-29
Шарль Фердинан Рамю. Пришествие поэта,Бабель,9789659312573,16.3,https://nmbooks.shop/products/шарль-фердинан-рамю-пришествие-поэта,nm_books,2026-03-29
Борис Акунин: Москва-Синцзин,BaBook,9798990281622,24.45,https://nmbooks.shop/products/10492,nm_books,2026-03-29
Кирилл Кобрин. Пять эссе о войне и болезни,Бабель,9789659312542,10.59,https://nmbooks.shop/products/10526,nm_books,2026-03-29
Евгений Фельдман. Мечтатели против космонавтов,BaBook,9781965369289,34.63,https://nmbooks.shop/products/10518,nm_books,2026-03-29
Олег Кашин. Ничего хорошего. От начала войны до похорон Навального,ISIA,9783689590000,19.56,https://nmbooks.shop/products/d10551,nm_books,2026-03-29
Маржан Сатрапи. Вышивки,Бумкнига,9785907305007,7.33,https://nmbooks.shop/products/d10548,nm_books,2026-03-29
Стивен Уокер. Первый. Новая история Гагарина и космической гонки,Альпина нон-фикшн,9785001396642,14.67,https://nmbooks.shop/products/10507,nm_books,2026-03-29
Лев Рубинштейн. Кладбище с вайфаем,Новое литературное обозрение (НЛО),9785444812440,18.34,https://nmbooks.shop/products/d10467,nm_books,2026-03-29
Дидье Блонд. Адресная книга вымышленных литературных персонажей,Текст,9785751617523,20.37,https://nmbooks.shop/products/10482,nm_books,2026-03-29
Владимир Набоков. Бледный огонь,Corpus,9785171378349,14.26,https://nmbooks.shop/products/10533,nm_books,2026-03-29
"Мария Гельфонд: Комментарий к трилогии А. Бруштейн ""Дорога уходит в даль""",Издательский проект А и Б,9785990626188,11.82,https://nmbooks.shop/products/10268,nm_books,2026-03-29
Юлия Яковлева. Дети ворона,Самокат,9785917594446,15.48,https://nmbooks.shop/products/10481,nm_books,2026-03-29
Алки Зеи. Леопард за стеклом,Самокат,9785001675716,14.67,https://nmbooks.shop/products/d10546,nm_books,2026-03-29
Тамара Эйдельман. Тайны древних цивилизаций,АСТ,9785171516208,14.67,https://nmbooks.shop/products/d10512,nm_books,2026-03-29
Кормак Маккарти. Дорога,Азбука,9785389143852,8.15,https://nmbooks.shop/products/10517,nm_books,2026-03-29
Том Джексон: Главное в истории науки,"Манн, Иванов и Фербер",9785001957058,14.26,https://nmbooks.shop/products/d10530,nm_books,2026-03-29
Ирина Кувшинская: Воссозданный Рим,Издательство францисканцев,N/A,44.82,https://nmbooks.shop/products/10202,nm_books,2026-03-29
Лидия Чуковская: Памяти детства. Мой отец - Корней Чуковский,Волчок,N/A,16.3,https://nmbooks.shop/products/10186,nm_books,2026-03-29
Ника Дубровская: НЕ/СПРАВЕДЛИВОСТЬ,Самокат,N/A,17.11,https://nmbooks.shop/products/10137,nm_books,2026-03-29
"Антон Носик: Лытдыбр. Дневники, диалоги, проза",Редакция Елены Шубиной,N/A,40.75,https://nmbooks.shop/products/10074,nm_books,2026-03-29
Барбара Оакли: Думай как математик. Как решать любые проблемы быстрее и эффективнее,Альпина Паблишер,N/A,21.19,https://nmbooks.shop/products/10187,nm_books,2026-03-29
Марина Голубева: Главное в истории мифологии,"Манн, Иванов и Фербер",9785002140442,14.26,https://nmbooks.shop/products/ольга-и-сергей-гиляревские-главное-в-истории-медицины-copy,nm_books,2026-03-29
Джоэль Бен-Иззи: Царь-оборванец и секрет счастья,Livebook,9785907056237,11.21,https://nmbooks.shop/products/10289,nm_books,2026-03-29
Даниэль Аррас: Взгляд улитки. Описания неочевидного,Ад Маргинем (Ad Marginem),9785911035167,9.17,https://nmbooks.shop/products/10247,nm_books,2026-03-29
Ян Немец: Возможности любовного романа,Corpus,N/A,24.86,https://nmbooks.shop/products/10185,nm_books,2026-03-29
Дмитрий Галковский: Необходимо и достаточно,Циолковский,N/A,27.71,https://nmbooks.shop/products/10085,nm_books,2026-03-29
Вадим Фролов: Что к чему,Самокат,9785917596228,13.04,https://nmbooks.shop/products/10234,nm_books,2026-03-29
"Пелам Вудхаус: Дживс, вы - гений! Ваша взяла, Дживс! Фамильная честь Вустеров",АСТ,N/A,17.52,https://nmbooks.shop/products/10120,nm_books,2026-03-29
